__GUI_RECORD_SESSION__
time of writing: 15:14:04
recorded time  : 1.90299987793 seconds 
_______________________________________
         time	  value	    avg	  sigma
1606400042.23	  0.006	  0.005	  0.007
1606400042.26	  0.006	  0.005	  0.007
1606400042.33	  0.006	  0.005	  0.007
1606400042.36	  0.006	  0.005	  0.007
1606400042.43	  0.003	  0.005	  0.007
1606400042.46	  0.003	  0.004	  0.006
1606400042.53	  0.003	  0.004	  0.006
1606400042.55	  0.003	  0.004	  0.006
1606400042.63	  0.004	  0.004	  0.006
1606400042.65	  0.004	  0.004	  0.006
1606400042.73	  0.004	  0.003	  0.006
1606400042.77	  0.004	  0.003	  0.006
1606400042.84	  0.009	  0.004	  0.006
1606400042.86	  0.009	  0.004	  0.006
1606400042.93	  0.009	  0.004	  0.005
1606400042.96	  0.009	  0.005	  0.005
1606400043.02	  0.008	  0.005	  0.005
1606400043.05	  0.008	  0.004	  0.005
1606400043.13	  0.008	  0.004	  0.005
1606400043.15	  0.008	  0.004	  0.004
1606400043.23	  0.012	  0.004	  0.005
1606400043.26	  0.012	  0.004	  0.005
1606400043.33	  0.012	  0.005	  0.005
1606400043.37	  0.012	  0.005	  0.005
1606400043.42	 -0.008	  0.005	  0.005
1606400043.46	 -0.008	  0.004	  0.006
1606400043.54	 -0.008	  0.004	  0.006
1606400043.57	 -0.008	  0.004	  0.006
1606400043.63	  0.008	  0.004	  0.006
1606400043.65	  0.008	  0.004	  0.006
1606400043.73	  0.008	  0.005	  0.006
1606400043.75	  0.008	  0.005	  0.005
1606400043.83	  0.011	  0.006	  0.005
1606400043.87	  0.011	  0.006	  0.005
1606400043.93	  0.011	  0.006	  0.005
1606400043.95	  0.011	  0.006	  0.005
1606400044.03	  0.015	  0.006	  0.006
1606400044.06	  0.015	  0.007	  0.006
1606400044.13	  0.015	  0.007	  0.006
_______________________________________
Max :		  0.015	  0.007	  0.007
Min :		 -0.008	  0.003	  0.004
Mean:		  0.007	  0.005	  0.006
stdD:		  0.006	  0.001	  0.001
