19:50:58	41.135	7.887	5.158
19:51:30	40.135	7.872	5.158
19:52:14	39.135	8.86	5.324
19:52:50	38.135	9.819	5.514
19:54:11	37.135	10.803	5.67
19:54:53	36.135	11.829	5.831
19:55:28	35.135	12.805	6.02
19:56:17	34.135	13.818	6.17
19:56:58	33.135	14.83	6.337
19:57:31	32.135	15.823	6.526
19:58:16	31.135	16.814	6.692
19:58:55	30.135	17.81	6.843
19:59:27	29.135	18.824	7.033
20:00:10	28.135	19.819	7.198
20:00:47	27.135	20.811	7.35
20:01:17	26.135	21.807	7.539
20:01:59	25.135	22.785	7.705
20:02:34	24.135	23.787	7.894
20:03:23	23.135	24.817	8.09
m:	0.170942954566	b:	3.46350563636
