001:19:04	37.0	110.0	25.802	0.005	0.119	25.807
101:19:38	37.0	145.0	25.808	-0.005	0.185	25.803
201:20:15	37.0	180.0	25.893	-0.086	0.201	25.807
301:20:55	64.5	110.0	25.711	0.096	0.201	25.807
401:21:33	64.5	145.0	25.839	-0.034	0.201	25.805
501:22:04	64.5	180.0	25.932	0.138	0.19	26.07
601:22:40	92.0	110.0	25.73	0.077	0.177	25.807
701:23:18	92.0	145.0	25.799	0.006	0.201	25.805
801:23:56	92.0	180.0	25.882	-0.075	0.2	25.807
