Time	laser sensor	Touch sensor	Gap
02:44:04	20.898	20.844	10
02:44:30	20.873	21.016	2.5
02:44:54	20.88	20.839	0.625
02:45:17	20.883	20.726	0.157
02:45:40	20.886	20.846	0.04
02:46:03	20.884	20.874	0.01
02:46:27	20.883	20.88	0.003
02:46:50	20.883	20.882	0.001
02:47:14	20.88	20.88	0.0
02:47:37	20.879	20.879	0.0
02:48:01	20.88	20.88	0.0
02:48:24	20.876	20.876	0.0
02:48:47	20.88	20.88	0.0
02:49:11	20.883	20.883	0.0
02:49:35	20.882	20.882	0.0
