time	machine position	laser sensor height	detected edge
03:44:57	34.19	5.992	-5.507
03:45:41	33.19	7.019	-5.507
03:46:26	32.19	8.016	-5.545
03:47:12	31.19	9.005	-5.545
03:47:57	30.19	9.997	-5.545
03:48:41	29.19	10.999	-5.545
03:49:26	28.19	12.0	-5.545
03:50:11	27.19	12.999	-5.583
03:50:56	26.19	14.002	-5.583
03:51:41	25.19	15.011	-5.583
m:	11.232388664	b:	-2.7744
m:	0.00852121212121	b:	-5.80179478788
