9003:19:22	89.0	153.833	26.881	26.729	0.152	0.201
9103:20:06	89.0	172.5	26.952	26.734	0.218	0.268
9203:20:51	114.0	116.5	26.765	26.615	0.15	0.197
9303:21:33	114.0	135.167	26.829	26.694	0.135	0.183
9403:22:20	114.0	153.833	26.89	26.743	0.147	0.201
9503:23:11	114.0	172.5	26.895	26.795	0.1	0.2
9603:24:01	39.0	116.5	26.489	26.662	-0.173	0.119
9703:24:44	39.0	135.167	26.792	26.661	0.131	0.195
9803:25:27	39.0	153.833	26.85	26.729	0.121	0.184
9903:26:10	39.0	172.5	26.91	26.781	0.129	0.197
10003:26:53	64.0	116.5	26.75	26.623	0.127	0.174
10103:27:36	64.0	135.167	26.806	26.67	0.136	0.187
10203:28:19	64.0	153.833	26.871	26.747	0.124	0.185
10303:29:06	64.0	172.5	26.938	26.774	0.164	0.201
10403:29:57	89.0	116.5	26.489	26.59	-0.101	0.201
10503:30:43	89.0	135.167	26.819	26.654	0.165	0.201
10603:31:30	89.0	153.833	26.881	26.726	0.155	0.201
10703:32:14	89.0	172.5	26.946	26.739	0.207	0.258
10803:32:58	114.0	116.5	26.765	26.613	0.152	0.198
10903:33:41	114.0	135.167	26.829	26.693	0.136	0.184
11003:34:27	114.0	153.833	26.89	26.74	0.15	0.2
11103:35:14	114.0	172.5	26.96	26.808	0.152	0.2
11203:36:05	39.0	116.5	26.487	26.647	-0.16	0.12
11303:36:51	39.0	135.167	26.79	26.651	0.139	0.201
11403:37:34	39.0	153.833	26.852	26.722	0.13	0.179
11503:38:17	39.0	172.5	26.915	26.779	0.136	0.199
11603:39:01	64.0	116.5	26.75	26.607	0.143	0.203
11703:39:44	64.0	135.167	26.813	26.667	0.146	0.194
11803:40:26	64.0	153.833	26.871	26.748	0.123	0.188
11903:41:13	64.0	172.5	26.938	26.769	0.169	0.201
12003:42:01	89.0	116.5	26.748	26.589	0.159	0.2
12103:42:48	89.0	135.167	26.817	26.641	0.176	0.2
12203:43:35	89.0	153.833	26.881	26.73	0.151	0.201
12303:44:19	89.0	172.5	26.946	26.73	0.216	0.278
12403:45:06	114.0	116.5	26.765	26.609	0.156	0.201
12503:45:49	114.0	135.167	26.829	26.692	0.137	0.184
12603:46:36	114.0	153.833	26.888	26.739	0.149	0.201
12703:47:23	114.0	172.5	26.952	26.801	0.151	0.2
12803:48:10	39.0	116.5	26.736	26.64	0.096	0.119
12903:48:53	39.0	135.167	26.794	26.658	0.136	0.197
13003:49:36	39.0	153.833	26.854	26.723	0.131	0.192
13103:50:22	39.0	172.5	26.91	26.771	0.139	0.2
13203:51:09	64.0	116.5	26.487	26.609	-0.122	0.199
13303:51:57	64.0	135.167	26.813	26.673	0.14	0.201
13403:52:39	64.0	153.833	26.869	26.749	0.12	0.183
13503:53:26	64.0	172.5	26.935	26.775	0.16	0.201
13603:54:14	89.0	116.5	26.752	26.589	0.163	0.201
13703:55:01	89.0	135.167	26.817	26.653	0.164	0.2
13803:55:48	89.0	153.833	26.879	26.726	0.153	0.201
13903:56:31	89.0	172.5	26.946	26.742	0.204	0.266
14003:57:16	114.0	116.5	26.761	26.609	0.152	0.202
14103:57:59	114.0	135.167	26.829	26.677	0.152	0.2
14203:58:45	114.0	153.833	26.894	26.736	0.158	0.201
14303:59:32	114.0	172.5	26.952	26.792	0.16	0.201
14404:00:20	39.0	116.5	26.449	26.63	-0.181	0.168
14504:01:07	39.0	135.167	26.794	26.647	0.147	0.201
14604:01:50	39.0	153.833	26.852	26.722	0.13	0.193
14704:02:33	39.0	172.5	26.91	26.783	0.127	0.194
14804:03:20	64.0	116.5	26.489	26.605	-0.116	0.191
14904:04:08	64.0	135.167	26.813	26.654	0.159	0.201
15004:04:51	64.0	153.833	26.869	26.748	0.121	0.173
15104:05:38	64.0	172.5	26.935	26.76	0.175	0.201
15204:06:29	89.0	116.5	26.489	26.596	-0.107	0.201
15304:07:15	89.0	135.167	26.815	26.65	0.165	0.2
15404:07:58	89.0	153.833	26.883	26.724	0.159	0.202
15504:08:42	89.0	172.5	26.946	26.739	0.207	0.269
15604:09:29	114.0	116.5	26.487	26.61	-0.123	0.201
15704:10:12	114.0	135.167	26.829	26.696	0.133	0.194
15804:10:59	114.0	153.833	26.888	26.741	0.147	0.201
