25	27.532	0.55	0.573	0.369	
25	27.505	0.55	0.535	0.346	
25	27.497	0.552	0.521	0.33	
25	27.509	0.556	0.504	0.342	
25	27.517	0.552	0.529	0.341	
25	27.503	0.54	0.521	0.325	
25	27.513	0.548	0.529	0.325	
25	27.524	0.557	0.532	0.35	
25	27.522	0.557	0.54	0.342	
25	27.509	0.548	0.519	0.319	
12	27.495	0.563	0.538	0.336	
12	27.48	0.541	0.534	0.34	
12	27.483	0.551	0.53	0.348	
12	27.472	0.551	0.532	0.344	
12	27.465	0.551	0.546	0.338	
12	27.457	0.526	0.512	0.34	
12	27.472	0.563	0.526	0.325	
12	27.482	0.543	0.524	0.331	
12	27.48	0.538	0.524	0.334	
12	27.486	0.552	0.532	0.34	
25	27.611	0.55	0.292	0.354	
25	27.594	0.306	0.533	0.333	
25	27.578	0.525	0.519	0.073	
25	27.574	0.527	0.511	0.332	
25	27.58	0.29	0.519	0.346	
25	27.572	0.517	0.53	0.332	
25	27.584	0.51	0.527	0.329	
25	27.565	0.498	0.51	0.312	
