200	18.294	0.799	0.799	0.649	
200	18.261	0.766	0.766	0.633	
200	18.244	0.766	0.733	0.616	
200	18.261	0.766	0.783	0.633	
200	18.261	0.766	0.783	0.633	
200	18.294	0.833	0.783	0.666	
200	18.278	0.8	0.8	0.65	
200	18.261	0.766	0.766	0.666	
200	18.311	0.85	0.816	0.7	
200	18.311	0.833	0.816	0.7	
175	18.252	0.816	0.802	0.685	
175	18.209	0.744	0.759	0.627	
175	18.238	0.759	0.773	0.656	
175	18.252	0.787	0.802	0.7	
175	18.209	0.773	0.744	0.671	
175	18.194	0.744	0.729	0.612	
175	18.223	0.787	0.758	0.671	
175	18.209	0.773	0.744	0.642	
175	18.194	0.744	0.744	0.642	
175	18.223	0.773	0.758	0.656	
150	18.203	0.775	0.775	0.65	
150	18.191	0.775	0.75	0.65	
150	18.216	0.788	0.788	0.663	
150	18.203	0.787	0.762	0.65	
150	18.203	0.787	0.737	0.662	
150	18.216	0.813	0.788	0.675	
150	18.203	0.787	0.787	0.65	
150	18.203	0.8	0.8	0.687	
150	18.178	0.762	0.75	0.637	
150	18.216	0.8	0.775	0.675	
125	18.15	0.781	0.76	0.656	
125	18.15	0.781	0.77	0.666	
125	18.161	0.792	0.781	0.667	
125	18.15	0.77	0.77	0.666	
125	18.161	0.802	0.761	0.646	
125	18.171	0.812	0.781	0.687	
125	18.161	0.792	0.761	0.656	
125	18.161	0.802	0.781	0.667	
125	18.161	0.781	0.771	0.656	
125	18.161	0.792	0.771	0.667	
100	18.121	0.792	0.775	0.658	
100	18.129	0.808	0.758	0.666	
100	18.113	0.775	0.767	0.65	
100	18.138	0.809	0.8	0.675	
100	18.129	0.808	0.783	0.666	
100	18.113	0.775	0.767	0.65	
100	18.113	0.792	0.767	0.65	
100	18.113	0.784	0.775	0.642	
100	18.121	0.817	0.767	0.667	
100	18.113	0.792	0.759	0.659	
50	18.051	0.8	0.775	0.671	
50	18.047	0.796	0.771	0.667	
50	18.047	0.796	0.771	0.662	
50	18.047	0.8	0.779	0.667	
50	18.051	0.8	0.779	0.671	
50	18.043	0.796	0.767	0.667	
50	18.043	0.796	0.767	0.658	
50	18.043	0.796	0.767	0.658	
50	18.051	0.808	0.783	0.671	
50	18.043	0.8	0.779	0.654	
25	18.011	0.789	0.772	0.664	
25	18.007	0.783	0.768	0.66	
25	18.001	0.783	0.762	0.658	
25	18.009	0.789	0.772	0.664	
25	18.009	0.793	0.77	0.666	
25	18.007	0.789	0.766	0.666	
25	18.005	0.789	0.771	0.662	
25	18.007	0.789	0.764	0.664	
25	18.005	0.791	0.768	0.66	
25	18.005	0.791	0.768	0.66	
12	17.984	0.78	0.763	0.661	
12	17.984	0.781	0.762	0.659	
12	17.984	0.779	0.763	0.659	
12	17.985	0.781	0.762	0.662	
12	17.984	0.781	0.763	0.659	
12	17.984	0.781	0.761	0.66	
12	17.984	0.781	0.765	0.662	
12	17.987	0.785	0.767	0.667	
12	17.986	0.783	0.766	0.663	
12	17.985	0.781	0.765	0.665	
6	17.976	0.78	0.765	0.664	
6	17.971	0.775	0.76	0.661	
6	17.976	0.781	0.765	0.665	
6	17.975	0.779	0.764	0.664	
6	17.976	0.779	0.765	0.665	
6	17.975	0.779	0.763	0.664	
6	17.975	0.78	0.763	0.663	
6	17.974	0.778	0.763	0.663	
6	17.97	0.774	0.758	0.659	
6	17.972	0.776	0.762	0.66	
