160	15:23:45	Kehft shod	20	35
161	15:24:14	28.657	21	31
162	15:24:46	28.691	18	35
163	15:25:22	Kehft shod	21	32
164	15:25:58	Kehft shod	18	32
165	15:26:26	27.688	20	32
166	15:26:47	Kehft shod	19	32
167	15:27:19	28.684	20	33
168	15:27:55	Kehft shod	18	31
169	15:28:23	28.657	19	31
170	15:28:44	Kehft shod	22	31
171	15:29:16	28.691	18	35
172	15:29:49	28.688	18	34
173	15:30:24	Kehft shod	21	32
174	15:31:00	Kehft shod	22	32
175	15:31:32	28.695	20	34
176	15:32:01	28.657	21	31
177	15:32:33	28.684	20	33
178	15:33:09	Kehft shod	22	35
179	15:33:45	Kehft shod	22	35
180	15:34:21	Kehft shod	18	32
181	15:34:38	Kehft shod	22	33
182	15:35:10	28.688	18	34
183	15:35:38	28.680	20	31
184	15:36:10	27.477	19	33
185	15:36:46	Kehft shod	18	32
186	15:37:15	27.688	20	32
187	15:37:51	Kehft shod	21	32
188	15:38:26	Kehft shod	22	32
189	15:39:02	Kehft shod	21	32
190	15:39:31	27.688	20	32
191	15:39:59	28.657	21	31
192	15:40:35	Kehft shod	22	31
193	15:41:03	28.688	21	33
194	15:41:35	28.657	21	35
195	15:42:04	28.657	21	31
196	15:42:40	Kehft shod	18	32
197	15:43:01	Kehft shod	19	32
198	15:43:18	Kehft shod	20	35
199	15:43:35	Kehft shod	20	35
200	15:44:07	28.691	18	35
201	15:44:39	28.688	18	34
202	15:45:15	Kehft shod	22	32
203	15:45:50	Kehft shod	22	35
204	15:46:22	28.657	21	35
205	15:46:55	28.657	21	35
206	15:47:27	28.688	19	35
207	15:47:59	28.669	19	34
208	15:48:35	Kehft shod	21	32
209	15:49:03	28.649	21	32
210	15:49:31	28.649	21	32
211	15:50:00	28.657	21	31
212	15:50:35	Kehft shod	21	33
213	15:51:07	28.669	19	34
214	15:51:36	28.649	21	32
215	15:52:04	28.657	22	34
216	15:52:25	Kehft shod	19	32
217	15:52:57	28.695	20	34
218	15:53:25	28.657	21	31
219	15:53:57	28.688	18	34
220	15:54:15	Kehft shod	20	35
221	15:54:51	Kehft shod	18	32
222	15:55:19	28.657	19	31
223	15:55:55	Kehft shod	22	32
224	15:56:27	28.657	21	35
225	15:56:55	28.680	20	31
226	15:57:31	Kehft shod	21	33
227	15:57:48	Kehft shod	20	35
228	15:58:17	28.657	19	31
229	15:58:49	28.669	19	34
230	15:59:25	Kehft shod	21	33
231	16:00:01	Kehft shod	22	35
